Prediction Date,Actual Outcome,Predicted Outcome,Win Probability,Confidence Score,Prediction Correct
2026-01-05,Abandoned,Abandoned,0.2376,High,True
2025-11-28,Abandoned,Won,0.553,Medium,False
2026-01-05,Abandoned,Won,0.4603,Medium,False
2025-11-28,Abandoned,Abandoned,0.3919,Medium,True
2026-01-05,Abandoned,Abandoned,0.318,Medium,True
2025-11-28,Abandoned,Abandoned,0.3636,Medium,True
2026-01-05,Abandoned,Abandoned,0.232,Medium,True
2025-11-28,Abandoned,Abandoned,0.0691,High,True
2026-01-05,Abandoned,Abandoned,0.0395,High,True
2026-01-30,Abandoned,Abandoned,0.0691,High,True
2026-02-27,Abandoned,Abandoned,0.0691,High,True
2026-04-10,Abandoned,Abandoned,0.0691,High,True
2025-11-28,Abandoned,Won,0.6944,Medium,False
2025-11-28,Abandoned,Lost,0.2969,Low,False
2026-01-05,Abandoned,Abandoned,0.2957,Low,True
2026-01-30,Abandoned,Lost,0.2969,Low,False
2026-02-27,Abandoned,Lost,0.2969,Low,False
2025-11-28,Abandoned,Won,0.6885,Medium,False
2026-01-05,Abandoned,Won,0.6805,Medium,False
2026-01-30,Abandoned,Won,0.6667,Medium,False
2025-11-28,Abandoned,Abandoned,0.3017,Medium,True
2026-01-05,Abandoned,Abandoned,0.231,Medium,True
2026-01-30,Abandoned,Abandoned,0.3295,Medium,True
2025-11-28,Abandoned,Won,0.5979,Medium,False
2026-01-05,Abandoned,Won,0.5138,Medium,False
2026-01-30,Abandoned,Won,0.586,Medium,False
2026-02-27,Abandoned,Won,0.5669,Medium,False
2026-04-10,Abandoned,Won,0.5068,Medium,False
2026-05-08,Abandoned,Won,0.5847,Medium,False
2025-11-28,Abandoned,Abandoned,0.3782,Medium,True
2026-01-05,Abandoned,Abandoned,0.2919,Medium,True
2026-01-30,Abandoned,Abandoned,0.3782,Medium,True
2026-02-27,Abandoned,Abandoned,0.3782,Medium,True
2026-04-10,Abandoned,Abandoned,0.3782,Medium,True
2025-11-28,Abandoned,Abandoned,0.237,Medium,True
2025-11-28,Abandoned,Abandoned,0.1786,High,True
2026-01-05,Abandoned,Abandoned,0.1392,High,True
2026-01-30,Abandoned,Abandoned,0.1639,High,True
2026-02-27,Abandoned,Abandoned,0.1639,High,True
2025-11-28,Won,Abandoned,0.1495,Medium,False
2026-01-05,Won,Abandoned,0.165,Medium,False
2026-01-30,Won,Abandoned,0.1549,Medium,False
2026-02-27,Won,Abandoned,0.1643,Low,False
2025-11-28,Abandoned,Lost,0.2187,Low,False
2026-01-05,Abandoned,Lost,0.1826,Low,False
2026-01-30,Abandoned,Lost,0.2187,Low,False
2026-02-27,Abandoned,Lost,0.2187,Low,False
2025-11-28,Abandoned,Lost,0.4104,Medium,False
2026-01-05,Abandoned,Won,0.5247,Medium,False
2025-11-28,Abandoned,Won,0.6273,Medium,False
2026-01-05,Abandoned,Won,0.5656,Medium,False
2026-01-30,Abandoned,Won,0.6273,Medium,False
2026-02-27,Abandoned,Won,0.6273,Medium,False
2026-04-10,Abandoned,Won,0.4536,Medium,False
2026-05-08,Abandoned,Won,0.7688,High,False
2025-11-28,Abandoned,Abandoned,0.296,Medium,True
2025-11-28,Abandoned,Abandoned,0.22,High,True
2025-11-28,Abandoned,Won,0.5135,Medium,False
2026-01-05,Abandoned,Abandoned,0.4305,Low,True
2026-01-30,Abandoned,Won,0.5135,Medium,False
2026-02-27,Abandoned,Won,0.4809,Medium,False
2026-04-10,Abandoned,Abandoned,0.2954,Medium,True
2025-11-28,Abandoned,Abandoned,0.1327,High,True
2025-11-28,Abandoned,Abandoned,0.2937,Medium,True
2026-01-05,Abandoned,Abandoned,0.274,Medium,True
2026-01-30,Abandoned,Won,0.6573,Medium,False
2026-02-27,Abandoned,Won,0.4828,Medium,False
2025-11-28,Won,Won,0.5462,Medium,True
2026-01-05,Won,Won,0.5279,Medium,True
2026-01-30,Won,Lost,0.4081,Medium,False
2026-02-27,Won,Lost,0.3868,Medium,False
2026-04-10,Won,Lost,0.2896,Low,False
2025-11-28,Won,Won,0.486,Medium,True
2026-01-05,Won,Lost,0.277,Medium,False
2026-01-30,Won,Lost,0.317,Low,False
2026-02-27,Won,Lost,0.3061,Low,False
2025-11-28,Abandoned,Won,0.5248,Medium,False
2026-01-05,Abandoned,Abandoned,0.1915,Medium,True
2026-01-30,Abandoned,Abandoned,0.4164,Low,True
2026-02-27,Abandoned,Abandoned,0.4115,Medium,True
2026-04-10,Abandoned,Abandoned,0.2561,Medium,True
2026-05-08,Abandoned,Abandoned,0.1557,Medium,True
2025-11-28,Won,Won,0.6411,Medium,True
2026-01-05,Won,Won,0.5635,Medium,True
2025-11-28,Abandoned,Lost,0.3516,Medium,False
2026-01-05,Abandoned,Lost,0.3209,Medium,False
2025-11-28,Abandoned,Abandoned,0.3158,Medium,True
2026-01-05,Abandoned,Abandoned,0.2407,Medium,True
2025-11-28,Abandoned,Abandoned,0.198,High,True
2025-11-28,Abandoned,Abandoned,0.4144,Medium,True
2026-01-05,Abandoned,Abandoned,0.3044,Medium,True
2025-11-28,Abandoned,Abandoned,0.4125,Medium,True
2026-01-05,Abandoned,Abandoned,0.3618,Medium,True
2026-01-30,Abandoned,Abandoned,0.4125,Medium,True
2026-02-27,Abandoned,Abandoned,0.4125,Medium,True
2026-04-10,Abandoned,Abandoned,0.4125,Medium,True
2026-05-08,Abandoned,Abandoned,0.4125,Medium,True
2025-11-28,Abandoned,Abandoned,0.3712,Medium,True
2026-01-05,Abandoned,Abandoned,0.2938,Medium,True
2025-11-28,Abandoned,Won,0.592,Medium,False
2025-11-28,Abandoned,Abandoned,0.3254,Medium,True
2026-01-05,Abandoned,Won,0.5037,Medium,False
2026-01-30,Abandoned,Abandoned,0.3721,Medium,True
2026-02-27,Abandoned,Abandoned,0.3846,Medium,True
2025-11-28,Abandoned,Abandoned,0.2341,High,True
2026-01-05,Abandoned,Abandoned,0.1992,High,True
2026-01-30,Abandoned,Abandoned,0.2331,High,True
2026-02-27,Abandoned,Abandoned,0.2331,High,True
2026-04-10,Abandoned,Abandoned,0.179,High,True
2025-11-28,Lost,Lost,0.4186,Low,True
2026-01-05,Lost,Won,0.4771,Medium,False
2025-11-28,Won,Abandoned,0.0784,High,False
2026-01-05,Won,Abandoned,0.051,High,False
2025-11-28,Abandoned,Abandoned,0.4261,Low,True
2026-01-05,Abandoned,Abandoned,0.3457,Low,True
2026-01-30,Abandoned,Abandoned,0.4261,Low,True
2026-02-27,Abandoned,Abandoned,0.3734,Low,True
2026-04-10,Abandoned,Abandoned,0.3734,Low,True
2025-11-28,Abandoned,Abandoned,0.3886,Low,True
2026-01-05,Abandoned,Abandoned,0.3132,Low,True
2025-11-28,Abandoned,Abandoned,0.2325,High,True
2026-01-05,Abandoned,Abandoned,0.1355,High,True
2025-11-28,Abandoned,Won,0.498,Medium,False
2026-01-05,Abandoned,Abandoned,0.3449,Medium,True
2026-01-30,Abandoned,Abandoned,0.3622,Medium,True
2026-02-27,Abandoned,Abandoned,0.3622,Medium,True
2026-04-10,Abandoned,Abandoned,0.3374,Medium,True
2025-11-28,Abandoned,Lost,0.3639,Low,False
2026-01-05,Abandoned,Lost,0.3302,Low,False
2025-11-28,Abandoned,Abandoned,0.3817,Medium,True
2026-01-05,Abandoned,Abandoned,0.2806,Medium,True
2025-11-28,Abandoned,Won,0.5353,Medium,False
2026-01-05,Abandoned,Abandoned,0.356,Medium,True
2026-01-30,Abandoned,Abandoned,0.2725,Medium,True
2026-02-27,Abandoned,Abandoned,0.2597,Medium,True
2025-11-28,Abandoned,Abandoned,0.0716,High,True
2026-01-05,Abandoned,Abandoned,0.0701,High,True
2026-01-30,Abandoned,Abandoned,0.0716,High,True
2026-02-27,Abandoned,Abandoned,0.0716,High,True
2025-11-28,Abandoned,Abandoned,0.3807,Medium,True
2025-11-28,Abandoned,Won,0.8487,High,False
2026-01-05,Abandoned,Won,0.7806,High,False
2025-11-28,Abandoned,Abandoned,0.4306,Medium,True
2026-01-05,Abandoned,Abandoned,0.3432,Medium,True
2026-01-30,Abandoned,Abandoned,0.4306,Medium,True
2026-02-27,Abandoned,Abandoned,0.4306,Medium,True
2025-11-28,Abandoned,Abandoned,0.3061,Medium,True
2026-01-05,Abandoned,Abandoned,0.2459,Medium,True
2026-01-30,Abandoned,Abandoned,0.3155,Medium,True
2026-02-27,Abandoned,Abandoned,0.3067,Medium,True
2026-04-10,Abandoned,Abandoned,0.3155,Medium,True
2026-05-08,Abandoned,Abandoned,0.4202,Low,True
2025-11-28,Abandoned,Abandoned,0.2428,High,True
2026-01-05,Abandoned,Abandoned,0.201,High,True
2025-11-28,Abandoned,Abandoned,0.2004,High,True
2026-01-05,Abandoned,Abandoned,0.2188,Medium,True
2026-01-30,Abandoned,Abandoned,0.1889,High,True
2025-11-28,Abandoned,Abandoned,0.0833,High,True
2026-01-05,Abandoned,Abandoned,0.0793,High,True
2026-01-30,Abandoned,Abandoned,0.0833,High,True
2025-11-28,Abandoned,Abandoned,0.1718,Medium,True
2026-01-05,Abandoned,Abandoned,0.1971,Medium,True
2026-01-30,Abandoned,Abandoned,0.1725,Medium,True
2025-11-28,Abandoned,Abandoned,0.2065,Medium,True
2026-01-05,Abandoned,Abandoned,0.2265,Medium,True
2026-01-30,Abandoned,Abandoned,0.1825,High,True
2026-02-27,Abandoned,Abandoned,0.1868,Medium,True
2025-11-28,Won,Lost,0.0525,High,False
2025-11-28,Abandoned,Won,0.4743,Medium,False
2026-01-05,Abandoned,Lost,0.3003,Medium,False
2026-01-30,Abandoned,Lost,0.2916,Medium,False
2026-02-27,Abandoned,Lost,0.378,Medium,False
2025-11-28,Abandoned,Abandoned,0.2528,Medium,True
2026-01-05,Abandoned,Abandoned,0.1941,Medium,True
2026-01-30,Abandoned,Abandoned,0.2503,Medium,True
2026-02-27,Abandoned,Abandoned,0.2503,Medium,True
2026-04-10,Abandoned,Abandoned,0.2528,Medium,True
2026-05-08,Abandoned,Abandoned,0.1894,High,True
2025-11-28,Won,Lost,0.2035,High,False
2026-01-05,Won,Lost,0.2651,Medium,False
2026-01-30,Won,Won,0.4522,Medium,True
2026-02-27,Won,Won,0.4824,Medium,True
2025-11-28,Abandoned,Abandoned,0.1663,High,True
2026-01-05,Abandoned,Abandoned,0.0996,High,True
